y_am_pef,tempin,humidin,pm25in,co2in,tempdiffin,humidiffin,pm25diffin,pm10,pm25,o3,no2,co,so2,temp,windsd,humid,varp,dewpt,airp,seap,solrhr,solramnt,grdt,class
0.26372036,0.5552043,0.2640309,0.19359101,0.211322,0.56725365,0.3500609,0.44923437,0.33507106,0.14401315,0.24686396,0.16489847,0.16635884,0.1860428,0.41852105,0.43360457,0.3750732,0.1229546,0.42454013,0.66790235,0.67080736,0.54113126,0.21452221,0.25102034,0.0
0.31924492,0.43801868,0.30343953,0.29151034,0.31691602,0.6776006,0.44455567,0.4557561,0.45811823,0.22181258,0.3492278,0.2767711,0.29257315,0.28776228,0.32694036,0.46001863,0.34689352,0.14487103,0.31993496,0.7064841,0.70146644,0.6360023,0.29027447,0.24789883,0.0
0.26992163,0.19201478,0.08492198,0.12127012,0.19574344,0.90747845,0.5239319,0.57604176,0.24627498,0.034387376,0.34984395,0.1001016,0.13511333,0.16079283,0.096764565,0.70739895,0.078182265,0.020375542,0.08037048,0.874254,0.8861727,0.856281,0.22347623,0.060931794,0.0
0.28031862,0.49308205,0.3578254,0.31586504,0.2797059,0.64276356,0.3771863,0.43026987,0.5160309,0.28035975,0.31151843,0.2930193,0.31147754,0.2721489,0.33804312,0.3963411,0.44276533,0.14782096,0.3556025,0.6914755,0.6978061,0.59728205,0.23159306,0.25158548,0.0
0.2800817,0.46986404,0.3451036,0.3164664,0.27541223,0.6683975,0.3806979,0.43261573,0.5186906,0.27225867,0.3175866,0.2877236,0.31337926,0.272253,0.31210792,0.40933415,0.42589438,0.13515207,0.332113,0.7067506,0.71687984,0.61363494,0.22678117,0.233197,0.0
0.3144509,0.59503245,0.51890534,0.44635603,0.3489861,0.50441194,0.35767534,0.37500104,0.6290173,0.5075058,0.3305251,0.42983115,0.42883056,0.36107242,0.47532737,0.30648077,0.630233,0.30264252,0.5168877,0.60116726,0.59214395,0.47290182,0.26976907,0.39347896,0.0
0.32398733,0.36827877,0.24002643,0.25531265,0.30722877,0.74533224,0.47861797,0.48241365,0.41134828,0.15922807,0.3651456,0.23628102,0.2618724,0.27176818,0.26460612,0.5238701,0.2590739,0.105283536,0.24973759,0.74812216,0.7474488,0.6950487,0.29527718,0.19770272,0.0
0.36291274,0.5577244,0.47674632,0.4303816,0.40386865,0.5185087,0.4249452,0.39436793,0.5804627,0.4544096,0.371438,0.4273045,0.4176919,0.3908201,0.48999035,0.35354307,0.55314726,0.32805926,0.50312406,0.60179675,0.57496417,0.49591058,0.34624416,0.4157387,0.0
0.26239833,0.72454965,0.59518224,0.358583,0.47607145,0.32233864,0.4143171,0.4603516,0.5378163,0.33627337,0.32400587,0.38442308,0.337878,0.23681962,0.73693687,0.23453306,0.6199271,0.4146368,0.68517184,0.4664947,0.441396,0.4425916,0.35053033,0.5813374,0.0
0.30517435,0.3733907,0.24385524,0.2537838,0.28647435,0.75054777,0.45669162,0.47840294,0.4232389,0.16267861,0.35043156,0.23343873,0.26093215,0.25938997,0.2518958,0.51092315,0.27110866,0.09626071,0.24238732,0.7544632,0.75747746,0.69688195,0.26833424,0.18516916,0.0
0.27802512,0.7008364,0.618633,0.48460883,0.33599028,0.38045022,0.29522797,0.3472247,0.68639266,0.624035,0.280918,0.47495997,0.4560977,0.34404865,0.5694508,0.22671248,0.76138556,0.3808873,0.6387382,0.53479105,0.5209828,0.39225942,0.22689937,0.47578907,0.0
0.3044976,0.63493097,0.5165357,0.40755433,0.34219074,0.45837355,0.35109827,0.38257098,0.5926414,0.47274867,0.30617908,0.40882277,0.38935536,0.33444604,0.5239482,0.29420462,0.63131714,0.31501088,0.54953754,0.5749274,0.55638015,0.45566493,0.27304074,0.42170054,0.0
0.256943,0.19948032,0.074466385,0.10128469,0.16986065,0.9057181,0.51007754,0.57712054,0.21007337,0.027618833,0.32528448,0.08394893,0.10980291,0.13986488,0.09859335,0.71531135,0.07207412,0.017758178,0.07987235,0.8788073,0.8867789,0.8520066,0.21043275,0.05563282,0.0
0.23377262,0.62111735,0.48030362,0.36109394,0.24460295,0.5264318,0.28343794,0.3863331,0.60043234,0.41406578,0.2537943,0.3383929,0.3446721,0.25748646,0.41853032,0.2846671,0.6291233,0.19098148,0.47067404,0.6308002,0.6452376,0.49807635,0.17391668,0.3063975,0.0
0.34647477,0.55620223,0.4796359,0.4318838,0.3831969,0.5316084,0.40731835,0.39073795,0.59398603,0.46124333,0.36144435,0.42453596,0.41999903,0.37997064,0.46812126,0.34600696,0.5641689,0.30551806,0.48891845,0.61292475,0.592059,0.50117666,0.3194539,0.39361915,0.0
0.21314442,0.08173201,0.028822752,0.05660702,0.12998267,0.97531825,0.59706956,0.6688097,0.15150948,0.0070281285,0.35756224,0.046118334,0.07380974,0.09236401,0.027395751,0.83420527,0.019289048,0.0034110344,0.018121056,0.94850945,0.9553086,0.9487878,0.17529438,0.015454809,0.0
0.30000997,0.36458805,0.23174131,0.24328887,0.27698943,0.76045656,0.45467377,0.4838992,0.41282794,0.1491243,0.34636575,0.21953763,0.24987777,0.2493209,0.24052383,0.52027357,0.25822344,0.087475225,0.23221925,0.7611524,0.7680137,0.7059316,0.2597636,0.17459682,0.0
0.31966075,0.62625945,0.56076956,0.47570962,0.36380452,0.4625086,0.34915286,0.36201307,0.6525243,0.56453776,0.33007464,0.46334872,0.45450956,0.3796587,0.5165447,0.2826147,0.67608035,0.3528188,0.56237286,0.5739141,0.56017476,0.4388815,0.2769425,0.43555623,0.0
0.33196142,0.6378768,0.58378154,0.49609518,0.38110605,0.44615674,0.3598877,0.35372946,0.65897125,0.6009899,0.34367105,0.50111395,0.4743798,0.39955437,0.54397434,0.2756178,0.6913248,0.39683416,0.58082294,0.56734353,0.53513926,0.42042595,0.30177456,0.45786923,0.0
0.30108133,0.34328762,0.24182154,0.26771766,0.28075352,0.7841602,0.45870438,0.47377682,0.4490699,0.17376094,0.3620766,0.24720131,0.2812809,0.26815248,0.21566913,0.51790047,0.2654022,0.086024635,0.20956282,0.7780662,0.7804062,0.71833163,0.25852555,0.1622976,0.0
0.25507995,0.14088352,0.05467644,0.090238616,0.16453308,0.9413357,0.5487053,0.6087173,0.1967633,0.01892226,0.35102382,0.072510585,0.10469451,0.13304797,0.062221665,0.76867914,0.04617353,0.010776675,0.048374526,0.9081064,0.9184606,0.8968121,0.20582318,0.037042856,0.0
0.29346782,0.4111825,0.27823916,0.27347693,0.27930403,0.7195972,0.42462486,0.46185017,0.45630038,0.19595826,0.33476233,0.24873067,0.2761996,0.2605773,0.27440614,0.47180665,0.3255851,0.10823136,0.27583146,0.73616844,0.74324477,0.66571534,0.24894808,0.20181912,0.0
0.2977474,0.67024827,0.6181571,0.5148961,0.3325699,0.4307414,0.31135172,0.3194252,0.6925177,0.6381279,0.31948474,0.48366132,0.4664402,0.37421948,0.5526901,0.24062726,0.7528615,0.37792864,0.61293983,0.5763001,0.54732406,0.37100968,0.24867181,0.4406592,0.0
0.2604246,0.16618802,0.07222324,0.1097398,0.18653978,0.9253439,0.5336455,0.5949135,0.23525195,0.027161686,0.35074356,0.0889987,0.1267819,0.1497207,0.077258706,0.7310484,0.06312382,0.015153732,0.062974274,0.88880783,0.90334153,0.8803879,0.21163867,0.049501274,0.0
0.3015141,0.4675551,0.3351988,0.30887717,0.3012475,0.65704256,0.41066608,0.44082943,0.49199635,0.25720498,0.33203787,0.28993478,0.3069249,0.2840419,0.3360338,0.42528212,0.399757,0.15061224,0.34203798,0.69662297,0.696779,0.6131293,0.2619978,0.25387618,0.0
0.30160782,0.41896677,0.280764,0.2726608,0.2905799,0.70698124,0.4337925,0.46306992,0.4481829,0.19617164,0.33822995,0.25272313,0.27519774,0.26577178,0.29132393,0.47173,0.32473066,0.11728846,0.2875807,0.7272418,0.72977954,0.6590294,0.26375955,0.2150569,0.0
0.3029127,0.6228377,0.49934986,0.40008873,0.32930073,0.47370183,0.34817314,0.38271558,0.5842592,0.45485196,0.30544117,0.3901006,0.37792376,0.32718626,0.5067969,0.30468562,0.61922777,0.29492486,0.53830546,0.5870691,0.5737962,0.4599938,0.2640326,0.40165332,0.0
0.36019346,0.57634366,0.5048113,0.45114034,0.40533313,0.4981998,0.41168976,0.38415262,0.60302395,0.4945583,0.36785156,0.4470882,0.43595615,0.39926308,0.50594074,0.33457646,0.5896132,0.3506491,0.5265013,0.5894893,0.5631517,0.47614232,0.33962414,0.4329111,0.0
0.30214694,0.30828196,0.18947318,0.21895732,0.2694447,0.81115353,0.48410302,0.5043446,0.380739,0.11446496,0.3610029,0.19714458,0.23178042,0.23962437,0.19369431,0.57056534,0.19815153,0.06572774,0.17925483,0.7953071,0.80126506,0.75310117,0.26381463,0.13989975,0.0
0.21656743,0.35806778,0.08871748,0.07806296,0.115430616,0.7987334,0.38590574,0.5330781,0.1621573,0.027759464,0.22351798,0.06002235,0.06781293,0.09735323,0.19661666,0.6325847,0.12516546,0.024945023,0.17624779,0.8253641,0.83171815,0.7291891,0.1605396,0.08095913,0.0
0.30218068,0.27168646,0.14476536,0.17681621,0.2518932,0.8411116,0.510534,0.52845293,0.31550023,0.07585004,0.36124936,0.15972424,0.18931806,0.21486132,0.1686599,0.62307715,0.1437313,0.04916828,0.14588569,0.8197938,0.8218324,0.78518105,0.26991472,0.11460586,0.0
0.29416892,0.64174753,0.5838236,0.48658678,0.3333122,0.4637194,0.31818977,0.35002846,0.6779704,0.5980019,0.31266317,0.4747982,0.46469623,0.36533538,0.5028432,0.26044646,0.71071726,0.33733237,0.55968237,0.58266824,0.57131916,0.42973003,0.2423441,0.4146937,0.0
0.25223604,0.2232364,0.093420394,0.11969064,0.18221153,0.8897061,0.48458055,0.5690299,0.25227767,0.036362838,0.31951866,0.095059596,0.12925178,0.14863698,0.109845705,0.6779371,0.09410031,0.021420723,0.09620126,0.86001956,0.878621,0.83844113,0.19881305,0.06693122,0.0
0.30611217,0.30036393,0.17184019,0.20012498,0.26875943,0.81445634,0.49632514,0.51712286,0.34926042,0.09539927,0.36040136,0.17826438,0.21117423,0.22935814,0.19355707,0.5908019,0.17591771,0.06149247,0.17501229,0.7967097,0.8036029,0.7611381,0.27147707,0.1370496,0.0
0.2751494,0.7036905,0.5681409,0.4067925,0.34119117,0.37228644,0.320744,0.38078037,0.6061427,0.49564752,0.27503607,0.40862715,0.37885538,0.29862893,0.6020152,0.24696249,0.6985043,0.3556073,0.6357794,0.52626055,0.5075258,0.41127977,0.24992718,0.48023027,0.0
0.25979915,0.22820938,0.11186466,0.14525047,0.20013398,0.88554025,0.48391545,0.5544533,0.2972827,0.050045483,0.33515143,0.1177771,0.15892492,0.17019156,0.113192335,0.655354,0.11221483,0.025944881,0.10208182,0.85413146,0.87283623,0.83131564,0.20552811,0.07420546,0.0
0.23841307,0.42080534,0.14950755,0.12502122,0.16366108,0.7283315,0.38028243,0.50690836,0.24614161,0.059630875,0.2434208,0.099358425,0.11210508,0.13656558,0.261031,0.55029625,0.20504817,0.049079288,0.2507334,0.7666045,0.7816134,0.6783785,0.18394561,0.13503654,0.0
0.29952204,0.21860322,0.114747584,0.15798783,0.24123417,0.8834733,0.53797406,0.5509415,0.29210648,0.056386366,0.37627277,0.14164871,0.17628269,0.20386568,0.12582408,0.67099816,0.104743995,0.03430001,0.10414809,0.85163265,0.8552393,0.8290995,0.26667574,0.08601332,0.0
0.3175277,0.32239532,0.20200503,0.22986919,0.29091147,0.7922822,0.49502146,0.49978137,0.3842664,0.12567301,0.37016502,0.2119217,0.2419352,0.255534,0.21762347,0.562781,0.20900615,0.07920914,0.19901173,0.7805509,0.7812714,0.73762107,0.28771624,0.1599962,0.0
0.24266928,0.4513634,0.33262563,0.30173624,0.23183979,0.7158855,0.3508853,0.43146378,0.5353038,0.26356936,0.2954164,0.27874568,0.30780756,0.24414255,0.2529878,0.4011506,0.42134258,0.098492265,0.27366912,0.7442272,0.7561554,0.64838946,0.1828623,0.18182947,0.0
0.25994334,0.70843786,0.6407679,0.49594766,0.3116473,0.39504132,0.27434865,0.33397627,0.7077474,0.653147,0.2734005,0.49398327,0.4696262,0.34050354,0.55351555,0.21017092,0.781181,0.36595398,0.62048316,0.54850113,0.532932,0.38631007,0.20782323,0.45111457,0.0
0.30327544,0.6144187,0.41137272,0.31051993,0.3003405,0.47452703,0.36148927,0.40935695,0.46308705,0.29662448,0.29461166,0.2799924,0.27211925,0.26831883,0.5307185,0.3536133,0.5253909,0.2485536,0.54284835,0.59219414,0.58663803,0.45785928,0.2717184,0.3774616,0.0
